date,time,price
2024-06-21, 12:40:00 ,63619 
2024-06-21, 12:45:00 ,63651 
2024-06-21, 12:50:00 ,63604 
2024-06-21, 12:55:00 ,63754 
2024-06-21, 13:00:00 ,63766 
2024-06-21, 13:05:00 ,63632 
2024-06-21, 13:10:00 ,63632 
2024-06-21, 13:15:00 ,63673 
2024-06-21, 13:20:00 ,63768 
2024-06-21, 13:25:00 ,63556 
2024-06-21, 13:30:00 ,63582 
2024-06-21, 13:35:00 ,63768 
2024-06-21, 13:40:00 ,63722 
2024-06-21, 13:45:00 ,63750 
2024-06-21, 13:50:00 ,63568 
2024-06-21, 13:55:00 ,63382 
2024-06-21, 14:00:00 ,63562 
2024-06-21, 14:05:00 ,63484 
2024-06-21, 14:10:00 ,63662 
2024-06-21, 14:15:00 ,63759 
2024-06-21, 14:20:00 ,63920 
2024-06-21, 14:25:00 ,63968 
2024-06-21, 14:30:00 ,63968 
2024-06-21, 14:35:00 ,64113 
2024-06-21, 14:40:00 ,64094 
2024-06-21, 14:45:00 ,64048 
2024-06-21, 14:50:00 ,64208 
2024-06-21, 14:55:00 ,64146 
2024-06-21, 15:00:00 ,64146 
2024-06-21, 15:05:00 ,64242 
2024-06-21, 15:10:00 ,64149 
2024-06-21, 15:15:00 ,64123 
2024-06-21, 15:20:00 ,63996 
2024-06-21, 15:25:00 ,63912 
2024-06-21, 15:30:00 ,63842 
2024-06-21, 15:35:00 ,63763 
2024-06-21, 15:40:00 ,63518 
2024-06-21, 15:45:00 ,63442 
2024-06-21, 15:50:00 ,63511 
2024-06-21, 15:55:00 ,63660 
2024-06-21, 16:00:00 ,63687 
2024-06-21, 16:05:00 ,63610 
2024-06-21, 16:10:00 ,63669 
2024-06-21, 16:15:00 ,63594 
2024-06-21, 16:20:00 ,63684 
2024-06-21, 16:25:00 ,63642 
2024-06-21, 16:30:00 ,63651 
2024-06-21, 16:35:00 ,63720 
2024-06-21, 16:40:00 ,63657 
2024-06-21, 16:45:00 ,63684 
2024-06-21, 16:50:00 ,63696 
2024-06-21, 16:55:00 ,63656 
2024-06-21, 17:00:00 ,63597 
2024-06-21, 17:05:00 ,63634 
2024-06-21, 17:10:00 ,63764 
2024-06-21, 17:15:00 ,63717 
2024-06-21, 17:20:00 ,63548 
2024-06-21, 17:25:00 ,63410 
2024-06-21, 17:30:00 ,63535 
2024-06-21, 17:35:00 ,63508 
2024-06-21, 17:40:00 ,63524 
2024-06-21, 17:45:00 ,63656 
2024-06-21, 17:50:00 ,63734 
2024-06-21, 17:55:00 ,63742 
2024-06-21, 18:00:00 ,63604 
2024-06-21, 18:05:00 ,63676 
2024-06-21, 18:10:00 ,63693 
2024-06-21, 18:15:00 ,63742 
2024-06-21, 18:20:00 ,63850 
2024-06-21, 18:25:00 ,63761 
2024-06-21, 18:30:00 ,63920 
2024-06-21, 18:35:00 ,63943 
2024-06-21, 18:40:00 ,63856 
2024-06-21, 18:45:00 ,63986 
2024-06-21, 18:50:00 ,63955 
2024-06-21, 18:55:00 ,64034 
2024-06-21, 19:00:00 ,64106 
2024-06-21, 19:05:00 ,64045 
2024-06-21, 19:10:00 ,63887 
2024-06-21, 19:15:00 ,63912 
2024-06-21, 19:20:00 ,63993 
2024-06-21, 19:25:00 ,64004 
2024-06-21, 19:30:00 ,63966 
2024-06-21, 19:35:00 ,64042 
2024-06-21, 19:40:00 ,64042 
2024-06-21, 19:45:00 ,64079 
2024-06-21, 19:50:00 ,64065 
2024-06-21, 19:55:00 ,64154 
2024-06-21, 20:00:00 ,64178 
2024-06-21, 20:05:00 ,64325 
2024-06-21, 20:10:00 ,64320 
2024-06-21, 20:15:00 ,64230 
2024-06-21, 20:20:00 ,64396 
2024-06-21, 20:25:00 ,64267 
2024-06-21, 20:30:00 ,64222 
2024-06-21, 20:35:00 ,64136 
2024-06-21, 20:40:00 ,64080 
2024-06-21, 20:45:00 ,64084 
2024-06-21, 20:50:00 ,64128 
2024-06-21, 20:55:00 ,64094 
2024-06-21, 21:00:00 ,64156 
2024-06-21, 21:05:00 ,64149 
2024-06-21, 21:10:00 ,64110 
2024-06-21, 21:15:00 ,64091 
2024-06-21, 21:20:00 ,63954 
2024-06-21, 21:25:00 ,63862 
2024-06-21, 21:30:00 ,63856 
2024-06-21, 21:35:00 ,63920 
2024-06-21, 21:40:00 ,63976 
2024-06-21, 21:45:00 ,63976 
2024-06-21, 21:50:00 ,64020 
2024-06-21, 21:55:00 ,63978 
2024-06-21, 22:00:00 ,64016 
2024-06-21, 22:05:00 ,64072 
2024-06-21, 22:10:00 ,64074 
2024-06-21, 22:15:00 ,64106 
2024-06-21, 22:20:00 ,64118 
2024-06-21, 22:25:00 ,64137 
2024-06-21, 22:30:00 ,64128 
2024-06-21, 22:35:00 ,64129 
2024-06-21, 22:40:00 ,64102 
2024-06-21, 22:45:00 ,64128 
2024-06-21, 22:50:00 ,64128 
2024-06-21, 22:55:00 ,64119 
2024-06-21, 23:00:00 ,64114 
2024-06-21, 23:05:00 ,64136 
2024-06-21, 23:10:00 ,64150 
2024-06-21, 23:15:00 ,64125 
2024-06-21, 23:20:00 ,64081 
2024-06-21, 23:25:00 ,64059 
2024-06-21, 23:30:00 ,64063 
2024-06-21, 23:35:00 ,64091 
2024-06-21, 23:40:00 ,64060 
2024-06-21, 23:45:00 ,64052 
2024-06-21, 23:50:00 ,64038 
2024-06-21, 23:55:00 ,64052 
2024-06-22, 00:00:00 ,64094 
2024-06-22, 00:05:00 ,64130 
2024-06-22, 00:10:00 ,64112 
2024-06-22, 00:15:00 ,64062 
2024-06-22, 00:20:00 ,64087 
2024-06-22, 00:25:00 ,64088 
2024-06-22, 00:30:00 ,64018 
2024-06-22, 00:35:00 ,64036 
2024-06-22, 00:40:00 ,63930 
2024-06-22, 00:45:00 ,63926 
2024-06-22, 00:50:00 ,63943 
2024-06-22, 00:55:00 ,63934 
2024-06-22, 01:00:00 ,63992 
2024-06-22, 01:05:00 ,64018 
2024-06-22, 01:10:00 ,64096 
2024-06-22, 01:15:00 ,64077 
2024-06-22, 01:20:00 ,64044 
2024-06-22, 01:25:00 ,64012 
2024-06-22, 01:30:00 ,64010 
2024-06-22, 01:35:00 ,64046 
2024-06-22, 01:40:00 ,64093 
2024-06-22, 01:45:00 ,64086 
2024-06-22, 01:50:00 ,64124 
2024-06-22, 01:55:00 ,64144 
2024-06-22, 02:00:00 ,64080 
2024-06-22, 02:05:00 ,64136 
2024-06-22, 02:10:00 ,64246 
2024-06-22, 02:15:00 ,64230 
2024-06-22, 02:20:00 ,64210 
2024-06-22, 02:25:00 ,64200 
2024-06-22, 02:30:00 ,64178 
2024-06-22, 02:35:00 ,64170 
2024-06-22, 02:40:00 ,64196 
2024-06-22, 02:45:00 ,64210 
2024-06-22, 02:50:00 ,64168 
2024-06-22, 02:55:00 ,64200 
2024-06-22, 03:00:00 ,64224 
2024-06-22, 03:05:00 ,64229 
2024-06-22, 03:10:00 ,64233 
2024-06-22, 03:15:00 ,64238 
